Location,Area_sqft,BHK,Bathrooms,Furnishing,Property_Type,Facing,City_Zone,Parking_Type,Transaction_Type,Property_Age_Years,Floor,Distance_from_City_Center_km,Price
Mumbai,4178,3,2,Semi-Furnished,Villa,East,Central,None,Resale,4,17,22.34,67672611.0
Bangalore,1986,3,4,Fully Furnished,Independent House,South,Suburb,Covered,New,20,14,3.36,26855571.0
Kolkata,777,3,3,Unfurnished,Apartment,West,Outskirts,Open,New,22,6,19.86,6495156.0
Pune,3695,2,4,Unfurnished,Villa,West,Suburb,Covered,New,23,17,16.42,39267685.0
Delhi,1113,1,1,Unfurnished,Villa,West,Outskirts,None,Resale,16,28,27.16,14086394.0
Kolkata,2623,3,1,Semi-Furnished,Independent House,North,Outskirts,Covered,Resale,8,19,17.55,22473732.0
Kolkata,4471,2,4,Semi-Furnished,Independent House,North,Suburb,Open,New,22,26,19.25,38690747.0
Hyderabad,3182,4,3,Fully Furnished,Apartment,West,Suburb,Covered,Resale,4,24,34.39,29070392.0
Pune,1137,5,1,Semi-Furnished,Villa,South,Central,Open,New,2,17,12.14,15064102.0
Mumbai,2900,4,2,Fully Furnished,Independent House,West,Central,Covered,Resale,7,15,16.22,48128498.0
Pune,3546,4,4,Unfurnished,Independent House,East,Outskirts,Covered,New,8,3,29.66,37809602.0
Pune,2263,5,1,Fully Furnished,Independent House,West,Suburb,Open,New,19,25,26.19,24019812.0
Bangalore,891,2,3,Semi-Furnished,Apartment,West,Outskirts,None,Resale,23,26,17.06,10822825.0
Chennai,3404,5,2,Unfurnished,Villa,East,Suburb,Covered,Resale,11,13,1.7,36115713.0
Kolkata,4013,2,4,Semi-Furnished,Independent House,North,Central,None,Resale,25,22,27.16,33963194.0
Mumbai,1929,4,2,Unfurnished,Apartment,South,Central,Open,Resale,24,10,3.18,31965852.0
Bangalore,1345,5,4,Semi-Furnished,Independent House,East,Central,Open,Resale,7,25,32.01,19004000.0
Kolkata,4040,4,4,Semi-Furnished,Apartment,South,Central,Covered,Resale,22,16,10.15,35656127.0
Chennai,1101,5,3,Unfurnished,Independent House,South,Suburb,Open,Resale,25,8,5.66,12221105.0
Bangalore,4356,5,1,Unfurnished,Villa,North,Outskirts,Covered,New,21,16,3.08,58183380.0
Chennai,2884,1,1,Unfurnished,Apartment,West,Central,Covered,New,20,18,32.92,27506297.0
Chennai,3155,3,4,Fully Furnished,Independent House,South,Central,None,Resale,27,27,2.86,32954925.0
Chennai,3668,3,2,Fully Furnished,Independent House,South,Outskirts,None,Resale,18,4,19.84,36427108.0
Bangalore,3502,4,2,Semi-Furnished,Independent House,West,Suburb,Open,New,32,6,7.72,46188374.0
Pune,2267,4,3,Semi-Furnished,Apartment,North,Central,Open,New,11,7,28.74,24819279.0
Chennai,4205,4,1,Unfurnished,Apartment,North,Suburb,Open,New,8,10,6.26,42638945.0
Pune,3433,1,2,Semi-Furnished,Independent House,East,Central,None,Resale,32,20,14.88,34934440.0
Kolkata,789,1,1,Unfurnished,Apartment,West,Outskirts,None,Resale,18,10,10.42,5379169.0
Kolkata,1643,4,3,Unfurnished,Independent House,East,Central,Open,Resale,15,15,23.4,14367766.0
Mumbai,3747,1,4,Semi-Furnished,Villa,North,Central,None,New,7,14,16.28,61983010.0
Hyderabad,411,5,2,Unfurnished,Apartment,East,Outskirts,Covered,Resale,34,12,13.62,2602553.0
Pune,1916,5,3,Semi-Furnished,Villa,North,Outskirts,Covered,New,26,27,3.03,21846148.0
Kolkata,2020,5,1,Unfurnished,Apartment,South,Suburb,None,Resale,19,9,1.79,17260416.0
Hyderabad,2157,3,1,Fully Furnished,Apartment,East,Suburb,None,New,19,11,29.58,19281285.0
Chennai,448,5,4,Unfurnished,Villa,South,Suburb,Open,New,17,22,11.54,5876446.0
Hyderabad,2115,3,4,Semi-Furnished,Apartment,South,Central,Covered,Resale,4,5,32.8,19701133.0
Hyderabad,660,5,2,Fully Furnished,Apartment,West,Suburb,Open,New,15,18,30.09,6812521.0
Chennai,719,4,2,Semi-Furnished,Apartment,East,Outskirts,Covered,New,14,9,10.64,7870011.0
Pune,2676,3,3,Unfurnished,Apartment,West,Central,Open,New,6,4,18.05,29532544.0
Chennai,2327,1,2,Unfurnished,Independent House,North,Outskirts,Open,Resale,24,24,24.3,22375548.0
Mumbai,3232,3,4,Semi-Furnished,Villa,North,Suburb,Open,Resale,4,1,3.32,53891379.0
Delhi,415,2,1,Semi-Furnished,Independent House,East,Outskirts,None,New,4,22,17.24,6308464.0
Bangalore,2927,3,4,Fully Furnished,Villa,South,Central,Open,New,34,16,23.44,39146820.0
Chennai,4266,5,2,Fully Furnished,Independent House,South,Central,Covered,Resale,31,17,8.91,43518696.0
Chennai,2745,5,1,Fully Furnished,Independent House,East,Suburb,None,Resale,2,12,9.29,29437767.0
Hyderabad,1340,5,4,Semi-Furnished,Apartment,East,Outskirts,Open,Resale,17,26,2.13,12997029.0
Mumbai,658,1,2,Semi-Furnished,Villa,East,Suburb,Covered,New,16,11,1.23,12155736.0
Kolkata,1463,4,4,Semi-Furnished,Independent House,South,Suburb,Open,Resale,16,24,3.99,13555779.0
Kolkata,675,3,4,Semi-Furnished,Independent House,West,Suburb,Open,New,1,7,20.4,7822534.0
Hyderabad,3191,1,4,Semi-Furnished,Apartment,East,Outskirts,Open,New,14,19,3.31,28753445.0
Pune,2966,2,4,Unfurnished,Villa,East,Outskirts,Open,New,34,16,31.49,30236360.0
Chennai,2330,3,4,Unfurnished,Apartment,North,Suburb,Covered,Resale,10,1,13.38,24343822.0
Chennai,3982,5,4,Unfurnished,Villa,West,Central,None,New,14,11,9.61,42311137.0
Hyderabad,1731,1,4,Fully Furnished,Independent House,East,Suburb,None,New,17,24,20.97,15644055.0
Chennai,1956,1,4,Unfurnished,Apartment,South,Central,Covered,Resale,21,1,1.33,19996679.0
Pune,879,3,3,Semi-Furnished,Independent House,West,Suburb,Open,New,31,14,22.46,9510392.0
Delhi,3446,1,4,Unfurnished,Apartment,South,Suburb,Covered,New,13,19,29.29,48434370.0
Bangalore,3994,1,4,Semi-Furnished,Independent House,North,Central,None,Resale,22,19,32.59,51912927.0
Bangalore,1888,1,3,Unfurnished,Villa,East,Suburb,None,Resale,1,16,34.46,24260999.0
Bangalore,3224,3,1,Fully Furnished,Independent House,East,Suburb,Open,Resale,7,1,1.58,42995531.0
Delhi,2492,5,3,Semi-Furnished,Apartment,North,Outskirts,Open,New,12,23,24.53,36020581.0
Chennai,1229,1,2,Semi-Furnished,Independent House,West,Suburb,Open,New,2,8,20.99,13199062.0
Hyderabad,2334,1,1,Unfurnished,Villa,South,Outskirts,Open,New,18,6,13.04,21273190.0
Kolkata,3100,4,2,Unfurnished,Villa,North,Suburb,Covered,Resale,17,20,2.9,27262505.0
Mumbai,543,2,1,Fully Furnished,Independent House,West,Central,Covered,New,11,1,33.45,9054530.0
Chennai,3204,4,4,Semi-Furnished,Apartment,East,Outskirts,Covered,New,3,26,6.63,34012330.0
Delhi,2286,5,1,Unfurnished,Villa,North,Suburb,Open,New,14,18,19.31,32756593.0
Pune,2994,4,4,Unfurnished,Apartment,South,Outskirts,Open,Resale,22,19,11.04,31685659.0
Delhi,1183,3,1,Semi-Furnished,Villa,North,Central,None,Resale,32,10,12.91,16891841.0
Kolkata,3229,4,4,Fully Furnished,Apartment,East,Outskirts,Open,New,10,15,1.52,29214130.0
Bangalore,2598,3,3,Semi-Furnished,Apartment,West,Central,Covered,New,1,6,14.0,35358796.0
Chennai,1010,4,3,Semi-Furnished,Apartment,South,Outskirts,Covered,New,18,8,4.95,11090962.0
Kolkata,3918,4,3,Fully Furnished,Independent House,South,Outskirts,Covered,New,9,25,9.23,34479074.0
Bangalore,940,2,1,Semi-Furnished,Apartment,North,Suburb,Covered,New,4,14,2.51,13452910.0
Mumbai,2597,3,4,Semi-Furnished,Independent House,West,Central,Open,New,10,24,10.23,43067039.0
Pune,2709,5,4,Unfurnished,Apartment,West,Outskirts,Open,Resale,12,11,3.96,28999723.0
Bangalore,812,1,4,Fully Furnished,Villa,West,Central,Open,New,9,3,15.7,12242354.0
Mumbai,2183,5,3,Fully Furnished,Villa,North,Suburb,None,New,18,3,4.39,36908585.0
Delhi,2127,4,3,Fully Furnished,Independent House,West,Outskirts,None,Resale,31,17,33.58,28512664.0
Bangalore,1827,5,1,Unfurnished,Apartment,South,Outskirts,Open,Resale,11,17,14.76,24024142.0
Bangalore,3910,4,3,Fully Furnished,Apartment,South,Suburb,Open,Resale,26,13,15.73,50784724.0
Hyderabad,2037,4,1,Semi-Furnished,Apartment,East,Suburb,Open,New,6,4,34.23,19153780.0
Pune,579,1,3,Semi-Furnished,Villa,South,Central,Open,Resale,24,21,16.85,6143928.0
Pune,3796,2,1,Semi-Furnished,Independent House,North,Central,Open,New,32,6,1.3,40104656.0
Kolkata,2042,2,1,Fully Furnished,Apartment,West,Suburb,Covered,New,15,9,16.68,17272616.0
Delhi,1694,1,1,Fully Furnished,Villa,South,Suburb,None,New,7,8,27.25,24084669.0
Hyderabad,1982,5,3,Fully Furnished,Villa,South,Central,Open,New,3,19,7.15,21238139.0
Kolkata,3936,3,1,Unfurnished,Apartment,East,Outskirts,Covered,Resale,15,12,22.03,32193878.0
Mumbai,763,1,1,Unfurnished,Independent House,North,Central,None,New,33,12,13.35,11555816.0
Kolkata,2516,4,2,Semi-Furnished,Independent House,North,Outskirts,Covered,New,33,16,29.91,20787536.0
Mumbai,2755,2,2,Semi-Furnished,Independent House,South,Suburb,None,Resale,33,22,21.68,43159465.0
Delhi,2961,2,1,Fully Furnished,Independent House,North,Suburb,Covered,New,4,11,8.69,42987551.0
Pune,3516,5,1,Fully Furnished,Independent House,West,Central,Open,Resale,33,17,7.81,38228407.0
Mumbai,2942,3,3,Fully Furnished,Villa,North,Central,Covered,New,1,19,3.81,50092236.0
Delhi,4420,1,4,Unfurnished,Villa,East,Outskirts,Open,New,24,3,30.44,61552429.0
Kolkata,1283,4,3,Semi-Furnished,Apartment,East,Suburb,Covered,New,31,3,33.97,10424346.0
Mumbai,1572,4,1,Semi-Furnished,Independent House,West,Outskirts,Covered,New,16,0,10.14,25726792.0
Chennai,2184,3,3,Unfurnished,Apartment,North,Suburb,Covered,Resale,0,28,27.04,22451860.0
Bangalore,4368,5,3,Fully Furnished,Apartment,East,Central,Open,New,22,21,5.76,58937311.0
Kolkata,2562,3,1,Fully Furnished,Independent House,North,Suburb,Open,New,0,21,18.99,22660173.0
Pune,3075,5,3,Fully Furnished,Villa,East,Central,Open,Resale,27,17,14.19,33604811.0
Kolkata,2494,5,4,Semi-Furnished,Apartment,North,Central,Covered,Resale,5,13,24.2,23024815.0
Chennai,2721,1,2,Semi-Furnished,Villa,North,Central,Covered,New,17,22,7.8,28735196.0
Delhi,512,1,4,Fully Furnished,Apartment,West,Outskirts,Open,New,15,28,18.55,7532144.0
Delhi,1191,4,3,Unfurnished,Independent House,West,Suburb,Open,Resale,9,1,6.47,17996798.0
Kolkata,1715,2,3,Fully Furnished,Villa,North,Outskirts,None,Resale,19,21,10.0,14885344.0
Chennai,2763,5,4,Unfurnished,Independent House,West,Outskirts,None,New,24,20,28.62,27476194.0
Kolkata,3633,4,1,Semi-Furnished,Villa,South,Suburb,Open,New,21,24,11.45,32053839.0
Bangalore,450,2,3,Semi-Furnished,Apartment,West,Outskirts,Covered,New,11,20,4.52,6832681.0
Bangalore,3895,4,4,Semi-Furnished,Apartment,North,Outskirts,Open,Resale,10,0,22.23,51624572.0
Hyderabad,543,5,2,Semi-Furnished,Apartment,West,Outskirts,Open,New,31,4,30.58,4495993.0
Mumbai,4087,2,1,Fully Furnished,Apartment,North,Suburb,Open,New,19,27,24.4,64395153.0
Hyderabad,2975,3,2,Semi-Furnished,Villa,South,Suburb,None,New,20,5,8.58,27113461.0
Bangalore,2420,1,3,Unfurnished,Apartment,East,Outskirts,Covered,Resale,22,4,17.72,30709964.0
Chennai,4130,1,4,Fully Furnished,Independent House,North,Central,Open,New,1,13,5.8,44151726.0
Mumbai,1148,2,1,Fully Furnished,Villa,North,Central,Open,Resale,9,22,8.72,19331696.0
Chennai,1274,2,1,Fully Furnished,Apartment,South,Outskirts,None,Resale,16,2,7.97,12065242.0
Hyderabad,3344,5,1,Fully Furnished,Independent House,North,Outskirts,Open,Resale,4,1,14.25,31053419.0
Delhi,1608,2,2,Unfurnished,Apartment,North,Outskirts,Covered,New,23,27,32.72,20903485.0
Chennai,4133,1,1,Semi-Furnished,Villa,North,Outskirts,Open,New,4,8,9.56,42461121.0
Hyderabad,613,5,4,Unfurnished,Independent House,West,Central,Open,Resale,28,26,23.34,5848607.0
Hyderabad,2218,4,3,Fully Furnished,Villa,East,Suburb,None,Resale,25,7,14.36,20626668.0
Hyderabad,3894,1,4,Unfurnished,Apartment,West,Central,None,New,21,29,5.93,36048952.0
Delhi,885,3,1,Unfurnished,Independent House,South,Outskirts,Covered,Resale,16,11,14.91,11883614.0
Delhi,3415,5,1,Fully Furnished,Independent House,North,Central,None,Resale,10,14,26.2,49500697.0
Kolkata,4123,3,4,Unfurnished,Apartment,North,Suburb,None,Resale,21,11,31.65,34323240.0
Delhi,3879,2,3,Fully Furnished,Apartment,North,Suburb,Covered,Resale,14,25,19.87,55027269.0
Mumbai,4427,4,4,Semi-Furnished,Villa,North,Suburb,None,New,5,2,19.5,72743787.0
Delhi,3518,2,1,Semi-Furnished,Apartment,South,Suburb,Open,Resale,2,2,18.28,49665471.0
Delhi,1063,1,1,Fully Furnished,Apartment,West,Central,None,New,1,19,32.0,15706701.0
Delhi,1423,4,2,Unfurnished,Villa,West,Central,Covered,Resale,15,6,13.97,21541592.0
Chennai,636,1,3,Unfurnished,Villa,West,Central,None,Resale,19,5,18.32,7118669.0
Delhi,3684,4,3,Fully Furnished,Villa,West,Outskirts,None,Resale,13,16,33.12,52420964.0
Mumbai,3743,3,1,Fully Furnished,Apartment,West,Suburb,Open,New,20,29,8.19,59773355.0
Hyderabad,2525,1,2,Fully Furnished,Independent House,South,Central,Covered,New,27,7,9.91,23046342.0
Chennai,3617,1,2,Semi-Furnished,Villa,West,Central,Covered,Resale,23,19,2.21,36637346.0
Bangalore,2355,2,2,Fully Furnished,Apartment,South,Suburb,None,New,23,25,30.47,29947833.0
Delhi,628,5,2,Unfurnished,Apartment,East,Suburb,Covered,Resale,16,2,31.9,8537200.0
Kolkata,3812,1,4,Fully Furnished,Independent House,South,Outskirts,Covered,New,31,19,31.65,31674949.0
Kolkata,3286,4,2,Fully Furnished,Independent House,South,Central,Covered,New,30,14,9.91,28840220.0
Hyderabad,3219,2,3,Unfurnished,Villa,South,Outskirts,Covered,New,23,1,19.0,29419579.0
Hyderabad,3389,5,4,Unfurnished,Villa,West,Suburb,Open,Resale,30,20,18.63,30310835.0
Chennai,1486,1,1,Unfurnished,Villa,North,Suburb,Covered,New,34,15,2.92,14292893.0
Kolkata,2393,3,3,Fully Furnished,Apartment,South,Outskirts,Open,New,12,13,9.82,21276512.0
Bangalore,3445,2,4,Semi-Furnished,Independent House,North,Suburb,None,New,13,22,15.56,45604235.0
Pune,3705,3,3,Fully Furnished,Independent House,North,Suburb,Covered,Resale,4,15,16.59,40480066.0
Kolkata,2392,4,4,Semi-Furnished,Independent House,South,Outskirts,None,Resale,5,21,11.84,22083483.0
Kolkata,3999,2,3,Unfurnished,Apartment,West,Suburb,None,Resale,24,28,12.31,32720252.0
Mumbai,3987,2,2,Fully Furnished,Independent House,South,Outskirts,Covered,New,11,16,19.59,64398197.0
Pune,1705,2,2,Unfurnished,Independent House,West,Suburb,None,Resale,13,20,4.2,18113115.0
Hyderabad,1319,5,3,Unfurnished,Independent House,East,Suburb,Covered,New,34,12,15.81,11980900.0
Pune,441,5,3,Fully Furnished,Independent House,North,Central,Covered,Resale,2,14,21.23,6617324.0
Kolkata,1682,1,1,Unfurnished,Villa,South,Suburb,None,New,17,8,24.01,13751619.0
Hyderabad,3965,3,2,Fully Furnished,Apartment,North,Outskirts,Covered,Resale,8,29,9.96,36317079.0
Pune,2520,1,1,Unfurnished,Independent House,South,Outskirts,Open,Resale,8,29,26.84,25163186.0
Hyderabad,3545,3,1,Fully Furnished,Apartment,East,Outskirts,Open,Resale,3,8,7.98,32988141.0
Hyderabad,3082,1,2,Fully Furnished,Apartment,North,Outskirts,Covered,New,2,9,19.69,28278039.0
Chennai,3550,2,1,Fully Furnished,Independent House,South,Suburb,Open,Resale,24,7,28.02,34588255.0
Bangalore,4124,2,2,Unfurnished,Villa,South,Outskirts,Covered,New,30,11,15.25,53500967.0
Hyderabad,2233,3,1,Fully Furnished,Apartment,North,Outskirts,None,Resale,0,7,12.62,20326984.0
Mumbai,2917,2,4,Unfurnished,Independent House,South,Suburb,Covered,Resale,30,27,14.99,46530554.0
Kolkata,4236,1,1,Unfurnished,Villa,East,Central,Covered,Resale,11,23,18.96,36528757.0
Kolkata,4262,5,4,Unfurnished,Independent House,East,Suburb,Open,New,23,13,34.85,36805366.0
Mumbai,528,4,2,Fully Furnished,Villa,North,Outskirts,None,Resale,32,19,27.1,7691951.0
Delhi,3586,1,3,Fully Furnished,Apartment,East,Outskirts,Open,New,9,6,8.33,50337425.0
Hyderabad,1745,3,4,Unfurnished,Apartment,East,Outskirts,Covered,Resale,9,19,20.27,15945206.0
Hyderabad,2836,2,3,Fully Furnished,Apartment,West,Outskirts,Open,Resale,33,24,1.91,25113125.0
Hyderabad,3233,4,3,Unfurnished,Apartment,South,Outskirts,Covered,Resale,8,22,9.96,29592971.0
Pune,3623,4,3,Unfurnished,Villa,West,Central,Open,Resale,22,5,21.32,39300464.0
Hyderabad,3876,2,2,Unfurnished,Villa,South,Central,None,New,34,1,23.89,34612239.0
Hyderabad,2938,1,4,Semi-Furnished,Independent House,South,Suburb,Covered,Resale,32,17,16.2,25666320.0
Mumbai,3254,2,1,Unfurnished,Villa,South,Suburb,Open,Resale,10,5,2.2,52280170.0
Bangalore,1835,5,2,Fully Furnished,Independent House,East,Suburb,Covered,New,26,27,31.68,24067658.0
Bangalore,655,3,2,Unfurnished,Villa,West,Outskirts,Open,Resale,24,0,9.09,8913155.0
Delhi,2817,2,2,Semi-Furnished,Apartment,North,Central,None,New,29,12,24.13,38296736.0
Mumbai,2153,1,1,Semi-Furnished,Villa,North,Outskirts,Covered,New,5,0,19.83,35182335.0
Hyderabad,3811,5,4,Semi-Furnished,Independent House,South,Outskirts,Covered,Resale,7,13,23.13,35545017.0
Bangalore,475,5,3,Unfurnished,Villa,North,Central,None,Resale,28,22,8.66,7178220.0
Chennai,4011,1,2,Fully Furnished,Villa,South,Outskirts,Covered,Resale,12,23,17.55,40099013.0
Chennai,904,3,4,Semi-Furnished,Independent House,West,Central,Open,Resale,12,29,18.02,10839267.0
Chennai,3792,4,4,Unfurnished,Villa,North,Central,Covered,Resale,31,3,1.78,39573208.0
Hyderabad,2392,5,2,Fully Furnished,Villa,West,Outskirts,Covered,New,12,0,6.67,23183890.0
Hyderabad,3778,1,1,Unfurnished,Independent House,East,Central,Covered,New,21,28,29.56,33083778.0
Delhi,2794,5,1,Semi-Furnished,Independent House,East,Central,None,New,7,16,27.63,40133660.0
Kolkata,1816,4,2,Fully Furnished,Apartment,South,Outskirts,Covered,New,27,0,24.3,15698775.0
Delhi,2629,1,4,Fully Furnished,Villa,South,Suburb,Open,Resale,13,12,10.81,37592906.0
Delhi,639,5,1,Fully Furnished,Villa,East,Outskirts,Covered,New,0,6,12.73,11345334.0
Pune,2177,1,2,Semi-Furnished,Apartment,West,Central,None,New,6,0,5.7,23606615.0
Chennai,2802,1,2,Fully Furnished,Villa,West,Suburb,Open,New,15,27,16.15,29046700.0
Hyderabad,3031,4,2,Fully Furnished,Independent House,South,Suburb,Covered,Resale,27,16,6.93,28378054.0
Chennai,4306,1,1,Fully Furnished,Independent House,North,Outskirts,Open,Resale,4,26,34.85,42563900.0
Delhi,3410,3,3,Unfurnished,Apartment,West,Outskirts,Covered,Resale,23,6,20.29,46891515.0
Hyderabad,3789,5,2,Fully Furnished,Villa,South,Central,Open,Resale,24,13,27.33,35246453.0
Mumbai,4476,2,4,Unfurnished,Independent House,East,Suburb,Open,New,8,18,22.2,72782395.0
Bangalore,1614,3,2,Fully Furnished,Apartment,North,Suburb,None,New,19,17,32.69,20830212.0
Bangalore,1069,3,2,Fully Furnished,Apartment,East,Central,Covered,New,21,16,16.72,15001378.0
Delhi,3961,1,2,Unfurnished,Independent House,South,Suburb,Covered,New,13,12,4.03,55719102.0
Kolkata,1015,3,4,Fully Furnished,Independent House,East,Central,Covered,New,20,11,18.89,9615448.0
Chennai,1530,3,2,Unfurnished,Independent House,East,Suburb,None,New,27,21,34.18,13854881.0
Mumbai,1921,3,4,Semi-Furnished,Apartment,North,Suburb,Open,New,7,20,20.05,32008172.0
Hyderabad,3064,1,3,Unfurnished,Villa,South,Suburb,Covered,Resale,3,6,20.24,27951106.0
Kolkata,703,3,2,Semi-Furnished,Apartment,West,Central,None,New,32,14,9.81,5672777.0
Chennai,4379,2,1,Fully Furnished,Villa,North,Suburb,Open,New,10,19,6.93,44585329.0
Delhi,2294,3,3,Unfurnished,Apartment,North,Outskirts,Covered,New,6,27,22.18,32323988.0
Chennai,1915,1,4,Semi-Furnished,Apartment,East,Suburb,Open,New,24,10,2.92,19703949.0
Delhi,983,1,4,Unfurnished,Villa,East,Central,None,Resale,10,26,13.48,15172298.0
Pune,766,4,4,Unfurnished,Villa,North,Outskirts,Covered,New,28,21,21.67,8550039.0
Bangalore,2446,4,2,Unfurnished,Independent House,East,Suburb,Open,New,10,21,15.96,32930253.0
Kolkata,858,2,3,Semi-Furnished,Apartment,South,Suburb,Covered,New,26,27,17.11,7360742.0
Bangalore,519,5,4,Semi-Furnished,Independent House,West,Suburb,None,New,1,18,27.64,8377618.0
Chennai,3684,4,2,Semi-Furnished,Apartment,West,Central,Open,Resale,10,16,11.66,38353430.0
Mumbai,3654,3,4,Fully Furnished,Independent House,South,Suburb,Open,New,9,25,15.1,59718818.0
Hyderabad,3965,1,3,Unfurnished,Apartment,West,Outskirts,None,New,14,24,9.01,35415797.0
Delhi,3702,4,2,Fully Furnished,Independent House,West,Suburb,Covered,Resale,31,19,6.12,52717718.0
Hyderabad,2368,1,1,Semi-Furnished,Independent House,North,Outskirts,Open,Resale,21,14,21.14,20614727.0
Bangalore,2931,3,2,Fully Furnished,Villa,East,Suburb,Covered,New,31,0,3.92,38844830.0
Mumbai,1251,1,3,Semi-Furnished,Villa,West,Central,Covered,Resale,3,3,28.89,21313223.0
Mumbai,2329,1,1,Fully Furnished,Villa,East,Outskirts,None,New,24,27,25.17,36417890.0
Hyderabad,2343,4,4,Unfurnished,Villa,South,Central,Open,Resale,28,0,8.5,22017861.0
Bangalore,1163,1,3,Unfurnished,Independent House,East,Outskirts,None,New,10,24,34.0,14677514.0
Hyderabad,3696,3,4,Unfurnished,Independent House,North,Central,Covered,Resale,18,24,1.86,34257746.0
Chennai,3078,2,3,Unfurnished,Apartment,North,Central,None,New,21,17,14.46,31343528.0
Mumbai,4211,1,4,Semi-Furnished,Independent House,West,Suburb,Covered,Resale,33,1,10.99,67065526.0
Mumbai,1301,1,2,Unfurnished,Villa,West,Central,None,New,17,23,20.33,21260035.0
Chennai,1918,3,1,Fully Furnished,Independent House,South,Central,Open,New,29,20,27.58,18695522.0
Bangalore,3656,5,2,Unfurnished,Villa,South,Suburb,Covered,New,19,0,14.34,49287776.0
Mumbai,4386,3,3,Fully Furnished,Villa,East,Central,None,Resale,18,15,7.9,72195277.0
Kolkata,1141,4,1,Fully Furnished,Independent House,North,Suburb,Covered,Resale,5,19,29.62,10620037.0
Pune,3953,4,2,Semi-Furnished,Apartment,North,Suburb,Covered,Resale,26,27,27.34,41157324.0
Pune,2093,2,3,Semi-Furnished,Villa,East,Outskirts,Covered,Resale,18,26,30.38,22050044.0
Pune,2529,1,1,Fully Furnished,Villa,North,Central,None,Resale,6,26,20.26,27478782.0
Delhi,4411,2,2,Semi-Furnished,Independent House,East,Suburb,None,New,23,10,20.29,61324096.0
Kolkata,3652,2,4,Semi-Furnished,Apartment,East,Outskirts,None,New,9,26,33.07,31168018.0
Delhi,1765,1,1,Semi-Furnished,Villa,South,Suburb,None,Resale,16,28,21.48,24274372.0
Bangalore,595,1,4,Semi-Furnished,Apartment,North,Suburb,Open,New,28,25,3.06,7873537.0
Chennai,550,3,1,Unfurnished,Independent House,North,Central,None,New,19,0,17.81,5557925.0
Hyderabad,730,2,2,Unfurnished,Apartment,South,Outskirts,Covered,New,26,29,1.45,5916110.0
Kolkata,3510,2,3,Fully Furnished,Villa,West,Central,None,Resale,0,16,17.74,31273550.0
Bangalore,3724,4,2,Fully Furnished,Apartment,South,Central,Covered,Resale,9,0,8.24,50447239.0
Hyderabad,1289,2,2,Fully Furnished,Apartment,East,Suburb,None,New,33,11,25.12,11022228.0
Bangalore,1354,3,1,Semi-Furnished,Independent House,South,Suburb,Covered,New,19,12,20.37,17649886.0
Delhi,4089,5,4,Unfurnished,Independent House,North,Outskirts,None,Resale,10,4,2.96,58411070.0
Pune,3348,2,2,Fully Furnished,Independent House,West,Outskirts,Covered,Resale,3,23,1.76,36384844.0
Chennai,3641,3,4,Unfurnished,Apartment,East,Suburb,Open,New,19,19,9.43,37344456.0
Delhi,2795,3,1,Fully Furnished,Independent House,West,Central,Covered,New,5,19,6.66,40964406.0
Chennai,2444,5,3,Semi-Furnished,Independent House,South,Central,None,New,28,18,13.29,25677034.0
Kolkata,3999,3,1,Unfurnished,Independent House,South,Central,Covered,Resale,9,24,21.11,34409400.0
Hyderabad,4390,4,4,Fully Furnished,Villa,West,Suburb,Covered,Resale,26,2,21.08,39765237.0
Bangalore,4414,5,4,Unfurnished,Villa,East,Central,Covered,New,8,25,8.41,60173833.0
Mumbai,2455,4,4,Unfurnished,Villa,West,Central,Covered,New,26,27,23.31,40189415.0
Mumbai,3070,2,2,Semi-Furnished,Independent House,West,Suburb,Covered,New,31,7,32.25,48550483.0
Chennai,1975,2,4,Unfurnished,Villa,East,Outskirts,Open,Resale,6,0,27.53,19917307.0
Pune,2252,3,4,Semi-Furnished,Apartment,South,Outskirts,None,Resale,8,17,19.68,23579490.0
Pune,2613,3,2,Unfurnished,Independent House,East,Central,Open,New,6,28,25.39,28792897.0
Chennai,1626,5,4,Semi-Furnished,Apartment,North,Outskirts,None,New,9,17,25.11,16774774.0
Delhi,2063,2,2,Unfurnished,Apartment,West,Suburb,Open,New,1,15,7.38,29770374.0
Mumbai,763,1,3,Fully Furnished,Apartment,South,Suburb,Open,Resale,31,5,20.14,11284218.0
Delhi,2347,3,2,Semi-Furnished,Apartment,East,Outskirts,None,Resale,10,10,28.04,32858458.0
Hyderabad,4032,5,2,Unfurnished,Apartment,South,Central,Covered,Resale,31,25,24.5,35843699.0
Mumbai,3881,3,4,Semi-Furnished,Apartment,East,Outskirts,Covered,New,18,20,12.66,62284924.0
Hyderabad,1674,5,1,Semi-Furnished,Independent House,East,Outskirts,None,Resale,2,6,7.56,16457354.0
Bangalore,1845,2,2,Semi-Furnished,Independent House,South,Outskirts,None,Resale,9,20,5.32,24407293.0
Delhi,3357,3,1,Fully Furnished,Apartment,South,Suburb,Open,New,18,15,2.43,47584747.0
Chennai,3856,3,3,Unfurnished,Independent House,West,Suburb,None,Resale,7,10,6.32,39988715.0
Mumbai,2565,1,2,Fully Furnished,Apartment,South,Outskirts,None,Resale,30,17,21.54,39630435.0
Delhi,1409,2,4,Semi-Furnished,Independent House,North,Central,Covered,Resale,11,11,19.04,21308213.0
Chennai,3219,5,3,Unfurnished,Independent House,South,Suburb,None,New,33,17,24.58,32408836.0
